index,time_sec,video_frame_index,prediction_index,top_regions,png_path
63,31.5,755,31,L Gyrus temporal inf (2.45); R Gyrus rectus (2.40); L Sulcus front inf (2.36); R Gyrus temporal middle (2.35); L Sulcus precentral-inf-part (2.30); L Gyrus temp sup-Plan tempo (2.24); R Gyrus parietal sup (2.24); L Lat Fis-post (2.23),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0063_0031.5s.png
64,32.0,767,32,L Lat Fis-post (2.39); L Gyrus temp sup-Plan tempo (2.39); R Gyrus temp sup-Lateral (2.34); R Sulcus precentral-inf-part (2.34); L Sulcus precentral-sup-part (2.33); R Gyrus precentral (2.33); L Gyrus precentral (2.32); L Sulcus precentral-inf-part (2.30),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0064_0032.0s.png
65,32.5,779,32,L Lat Fis-post (2.39); L Gyrus temp sup-Plan tempo (2.39); R Gyrus temp sup-Lateral (2.34); R Sulcus precentral-inf-part (2.34); L Sulcus precentral-sup-part (2.33); R Gyrus precentral (2.33); L Gyrus precentral (2.32); L Sulcus precentral-inf-part (2.30),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0065_0032.5s.png
66,33.0,791,33,L Gyrus temp sup-Plan tempo (2.56); R Sulcus precentral-inf-part (2.49); L Lat Fis-post (2.48); R Gyrus pariet inf-Angular (2.47); R Gyrus temp sup-Lateral (2.46); L Sulcus precentral-sup-part (2.44); L Gyrus precentral (2.41); L Gyrus front sup (2.41),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0066_0033.0s.png
67,33.5,803,33,L Gyrus temp sup-Plan tempo (2.56); R Sulcus precentral-inf-part (2.49); L Lat Fis-post (2.48); R Gyrus pariet inf-Angular (2.47); R Gyrus temp sup-Lateral (2.46); L Sulcus precentral-sup-part (2.44); L Gyrus precentral (2.41); L Gyrus front sup (2.41),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0067_0033.5s.png
68,34.0,815,34,L Sulcus circular insula ant (2.50); L Gyrus temp sup-Plan tempo (2.47); R Gyrus and Sulcus subcentral (2.45); R Gyrus temp sup-Lateral (2.41); L Gyrus precentral (2.40); L Gyrus pariet inf-Supramar (2.39); R Sulcus precentral-inf-part (2.38); L Lat Fis-post (2.36),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0068_0034.0s.png
69,34.5,827,34,L Sulcus circular insula ant (2.50); L Gyrus temp sup-Plan tempo (2.47); R Gyrus and Sulcus subcentral (2.45); R Gyrus temp sup-Lateral (2.41); L Gyrus precentral (2.40); L Gyrus pariet inf-Supramar (2.39); R Sulcus precentral-inf-part (2.38); L Lat Fis-post (2.36),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0069_0034.5s.png
70,35.0,839,35,L Sulcus circular insula ant (2.50); R Gyrus and Sulcus subcentral (2.41); R Gyrus orbital (2.36); R Gyrus oc-temp med-Parahip (2.34); R Sulcus circular insula sup (2.34); R Pole temporal (2.31); L Gyrus cuneus (2.31); L Sulcus circular insula inf (2.31),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0070_0035.0s.png
71,35.5,851,35,L Sulcus circular insula ant (2.50); R Gyrus and Sulcus subcentral (2.41); R Gyrus orbital (2.36); R Gyrus oc-temp med-Parahip (2.34); R Sulcus circular insula sup (2.34); R Pole temporal (2.31); L Gyrus cuneus (2.31); L Sulcus circular insula inf (2.31),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0071_0035.5s.png
72,36.0,863,36,L Sulcus circular insula ant (2.42); R Gyrus and Sulcus subcentral (2.36); R Gyrus cuneus (2.35); R Sulcus oc sup and transversal (2.34); L Gyrus cuneus (2.33); L Gyrus and Sulcus subcentral (2.30); L Gyrus oc-temp med-Lingual (2.30); R Gyrus oc-temp med-Parahip (2.30),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0072_0036.0s.png
