index,time_sec,video_frame_index,prediction_index,top_regions,png_path
72,36.0,863,36,L Gyrus orbital (2.30); L Sulcus circular insula inf (2.22); R Gyrus temp sup-Plan tempo (2.17); R Sulcus orbital-H Shaped (2.14); R Sulcus circular insula inf (2.12); L Sulcus orbital med-olfact (2.11); R Gyrus front sup (2.06); R Gyrus temp sup-Lateral (2.04),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0072_0036.0s.png
73,36.5,875,36,L Gyrus orbital (2.30); L Sulcus circular insula inf (2.22); R Gyrus temp sup-Plan tempo (2.17); R Sulcus orbital-H Shaped (2.14); R Sulcus circular insula inf (2.12); L Sulcus orbital med-olfact (2.11); R Gyrus front sup (2.06); R Gyrus temp sup-Lateral (2.04),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0073_0036.5s.png
74,37.0,887,37,R Gyrus temporal inf (2.20); R Gyrus temp sup-Plan tempo (2.15); L Gyrus orbital (2.00); L Sulcus circular insula inf (2.00); R Sulcus front inf (1.99); R Gyrus temp sup-Lateral (1.97); L Gyrus temp sup-Lateral (1.97); L Pole temporal (1.97),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0074_0037.0s.png
75,37.5,899,37,R Gyrus temporal inf (2.20); R Gyrus temp sup-Plan tempo (2.15); L Gyrus orbital (2.00); L Sulcus circular insula inf (2.00); R Sulcus front inf (1.99); R Gyrus temp sup-Lateral (1.97); L Gyrus temp sup-Lateral (1.97); L Pole temporal (1.97),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0075_0037.5s.png
76,38.0,911,38,R Gyrus temporal inf (2.06); R Gyrus temp sup-Lateral (2.00); R Sulcus front inf (1.95); L Gyrus orbital (1.95); R Gyrus temp sup-Plan tempo (1.93); R Sulcus circular insula inf (1.92); R Sulcus precentral-inf-part (1.91); L Gyrus oc-temp med-Parahip (1.90),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0076_0038.0s.png
77,38.5,923,38,R Gyrus temporal inf (2.06); R Gyrus temp sup-Lateral (2.00); R Sulcus front inf (1.95); L Gyrus orbital (1.95); R Gyrus temp sup-Plan tempo (1.93); R Sulcus circular insula inf (1.92); R Sulcus precentral-inf-part (1.91); L Gyrus oc-temp med-Parahip (1.90),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0077_0038.5s.png
78,39.0,935,39,R Gyrus temporal inf (1.96); R Gyrus temp sup-Lateral (1.94); R Sulcus front inf (1.92); R Gyrus oc-temp lat-fusifor (1.91); R Sulcus collat transv ant (1.91); R Gyrus pariet inf-Supramar (1.90); L Gyrus temp sup-Plan tempo (1.90); R Gyrus pariet inf-Angular (1.90),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0078_0039.0s.png
79,39.5,947,39,R Gyrus temporal inf (1.96); R Gyrus temp sup-Lateral (1.94); R Sulcus front inf (1.92); R Gyrus oc-temp lat-fusifor (1.91); R Sulcus collat transv ant (1.91); R Gyrus pariet inf-Supramar (1.90); L Gyrus temp sup-Plan tempo (1.90); R Gyrus pariet inf-Angular (1.90),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0079_0039.5s.png
80,40.0,959,40,R Sulcus collat transv ant (2.06); R Sulcus oc-temp lat (2.01); R Gyrus temporal inf (2.01); R Gyrus oc-temp lat-fusifor (2.00); L Gyrus temp sup-Plan polar (1.99); R Gyrus and Sulcus occipital inf (1.98); R Gyrus Ins lg and Sulcus cent ins (1.98); R Gyrus front inf-Triangul (1.97),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0080_0040.0s.png
81,40.5,971,40,R Sulcus collat transv ant (2.06); R Sulcus oc-temp lat (2.01); R Gyrus temporal inf (2.01); R Gyrus oc-temp lat-fusifor (2.00); L Gyrus temp sup-Plan polar (1.99); R Gyrus and Sulcus occipital inf (1.98); R Gyrus Ins lg and Sulcus cent ins (1.98); R Gyrus front inf-Triangul (1.97),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0081_0040.5s.png
82,41.0,983,41,R Sulcus occipital ant (2.11); L Sulcus occipital ant (2.11); R Gyrus front inf-Triangul (2.08); R Gyrus temporal inf (2.05); L Gyrus temporal inf (2.04); L Gyrus occipital middle (2.04); R Gyrus and Sulcus occipital inf (2.03); R Sulcus oc-temp lat (2.03),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0082_0041.0s.png
83,41.5,995,41,R Sulcus occipital ant (2.11); L Sulcus occipital ant (2.11); R Gyrus front inf-Triangul (2.08); R Gyrus temporal inf (2.05); L Gyrus temporal inf (2.04); L Gyrus occipital middle (2.04); R Gyrus and Sulcus occipital inf (2.03); R Sulcus oc-temp lat (2.03),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0083_0041.5s.png
84,42.0,1007,42,R Sulcus occipital ant (2.17); L Sulcus occipital ant (2.11); R Gyrus occipital middle (2.07); R Gyrus and Sulcus occipital inf (2.03); R Gyrus temporal inf (2.02); R Sulcus temporal inf (2.02); R Gyrus oc-temp lat-fusifor (2.02); L Gyrus occipital middle (2.01),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0084_0042.0s.png
85,42.5,1019,42,R Sulcus occipital ant (2.17); L Sulcus occipital ant (2.11); R Gyrus occipital middle (2.07); R Gyrus and Sulcus occipital inf (2.03); R Gyrus temporal inf (2.02); R Sulcus temporal inf (2.02); R Gyrus oc-temp lat-fusifor (2.02); L Gyrus occipital middle (2.01),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0085_0042.5s.png
86,43.0,1031,43,R Sulcus occipital ant (2.13); R Gyrus occipital middle (2.02); L Sulcus pericallosal (2.01); L Sulcus front inf (2.00); L Sulcus occipital ant (2.00); L Gyrus front middle (2.00); L Gyrus occipital sup (1.98); R Gyrus and Sulcus occipital inf (1.98),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0086_0043.0s.png
87,43.5,1043,43,R Sulcus occipital ant (2.13); R Gyrus occipital middle (2.02); L Sulcus pericallosal (2.01); L Sulcus front inf (2.00); L Sulcus occipital ant (2.00); L Gyrus front middle (2.00); L Gyrus occipital sup (1.98); R Gyrus and Sulcus occipital inf (1.98),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0087_0043.5s.png
88,44.0,1055,44,L Gyrus front middle (2.19); L Gyrus front inf-Triangul (2.10); L Gyrus postcentral (2.07); L Lat Fis-post (2.07); L Sulcus front inf (2.06); L Gyrus and Sulcus subcentral (2.05); R Lat Fis-post (2.05); R Gyrus postcentral (2.04),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0088_0044.0s.png
89,44.5,1067,44,L Gyrus front middle (2.19); L Gyrus front inf-Triangul (2.10); L Gyrus postcentral (2.07); L Lat Fis-post (2.07); L Sulcus front inf (2.06); L Gyrus and Sulcus subcentral (2.05); R Lat Fis-post (2.05); R Gyrus postcentral (2.04),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0089_0044.5s.png
90,45.0,1079,45,L Lat Fis-post (2.22); R Gyrus temporal inf (2.12); L Gyrus orbital (2.10); R Gyrus and Sulcus subcentral (2.10); R Pole temporal (2.09); L Gyrus front middle (2.08); R Gyrus postcentral (2.07); R Gyrus rectus (2.07),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0090_0045.0s.png
91,45.5,1091,45,L Lat Fis-post (2.22); R Gyrus temporal inf (2.12); L Gyrus orbital (2.10); R Gyrus and Sulcus subcentral (2.10); R Pole temporal (2.09); L Gyrus front middle (2.08); R Gyrus postcentral (2.07); R Gyrus rectus (2.07),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0091_0045.5s.png
92,46.0,1103,46,R Gyrus rectus (2.23); R Lat Fis-post (2.17); R Gyrus and Sulcus subcentral (2.11); L Lat Fis-post (2.07); R Gyrus postcentral (2.06); R Gyrus oc-temp med-Parahip (2.05); L Gyrus and Sulcus subcentral (2.05); L Gyrus rectus (2.04),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0092_0046.0s.png
93,46.5,1115,46,R Gyrus rectus (2.23); R Lat Fis-post (2.17); R Gyrus and Sulcus subcentral (2.11); L Lat Fis-post (2.07); R Gyrus postcentral (2.06); R Gyrus oc-temp med-Parahip (2.05); L Gyrus and Sulcus subcentral (2.05); L Gyrus rectus (2.04),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0093_0046.5s.png
94,47.0,1127,47,L Gyrus pariet inf-Supramar (2.19); R Lat Fis-post (2.18); R Gyrus rectus (2.16); L Gyrus rectus (2.14); R Pole temporal (2.07); L Gyrus and Sulcus subcentral (2.07); L Lat Fis-post (2.06); R Gyrus postcentral (2.03),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_064425/frame_0094_0047.0s.png
