ad,rank_within_ad,region,appearances,unique_predictions,frame_count,frame_fraction,mean_score,max_score,mean_rank
Budweiser_Super_Bowl_LX_Commercial_American_Icons,75,R Gyrus occipital sup,2,1,121,0.01652892561983471,2.28,2.28,8.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,76,R Gyrus parietal sup,2,1,121,0.01652892561983471,2.24,2.24,7.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,77,L Gyrus and Sulcus transv frontopol,2,1,121,0.01652892561983471,2.23,2.23,6.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,78,L Gyrus and Sulcus cingul-Mid-Ant,2,1,121,0.01652892561983471,2.22,2.22,8.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,79,R Gyrus and Sulcus cingul-Ant,2,1,121,0.01652892561983471,2.2,2.2,4.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,80,R Gyrus subcallosal,2,1,121,0.01652892561983471,2.17,2.17,6.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,81,R Sulcus collat transv ant,2,1,121,0.01652892561983471,2.15,2.15,2.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,82,L Gyrus front inf-Triangul,2,1,121,0.01652892561983471,2.1,2.1,5.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,83,L Sulcus front sup,2,1,121,0.01652892561983471,2.09,2.09,4.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons,84,L Gyrus insular short,1,1,121,0.008264462809917356,2.96,2.96,6.0
Considering_What_Paris_2024_Paralympic_Games,1,R Gyrus orbital,85,70,281,0.302491103202847,2.188705882352941,2.95,2.5647058823529414
Considering_What_Paris_2024_Paralympic_Games,2,R Gyrus temporal inf,83,67,281,0.29537366548042704,2.1836144578313252,2.72,3.5783132530120483
Considering_What_Paris_2024_Paralympic_Games,3,L Gyrus orbital,82,66,281,0.2918149466192171,2.1931707317073172,2.95,3.7439024390243905
Considering_What_Paris_2024_Paralympic_Games,4,R Gyrus rectus,59,47,281,0.2099644128113879,2.238813559322034,2.88,3.2542372881355934
Considering_What_Paris_2024_Paralympic_Games,5,L Gyrus rectus,59,48,281,0.2099644128113879,2.1772881355932205,2.93,2.864406779661017
Considering_What_Paris_2024_Paralympic_Games,6,R Gyrus oc-temp med-Parahip,56,46,281,0.199288256227758,2.1566071428571427,2.81,3.0714285714285716
Considering_What_Paris_2024_Paralympic_Games,7,R Sulcus orbital med-olfact,52,40,281,0.18505338078291814,2.104807692307692,2.43,3.9423076923076925
Considering_What_Paris_2024_Paralympic_Games,8,L Sulcus orbital med-olfact,45,37,281,0.1601423487544484,2.094222222222222,2.78,4.444444444444445
Considering_What_Paris_2024_Paralympic_Games,9,L Gyrus temporal inf,43,35,281,0.15302491103202848,2.354418604651163,3.35,3.488372093023256
Considering_What_Paris_2024_Paralympic_Games,10,R Gyrus and Sulcus cingul-Ant,37,30,281,0.13167259786476868,2.0902702702702705,2.36,3.945945945945946
Considering_What_Paris_2024_Paralympic_Games,11,L Gyrus oc-temp med-Parahip,34,28,281,0.12099644128113879,2.179705882352941,2.68,4.176470588235294
Considering_What_Paris_2024_Paralympic_Games,12,L Gyrus and Sulcus transv frontopol,30,25,281,0.10676156583629894,2.2726666666666664,2.66,3.3
