ad,source,region,n_vertices,mean_response,max_response,min_response,positive_vertex_fraction
common_mean,common_mean,L Gyrus and Sulcus cingul-Ant,134,0.01835409738123417,0.09528884291648865,-0.11424323916435242,0.7164179104477612
common_mean,common_mean,R Sulcus circular insula sup,151,0.016270838677883148,0.10624612122774124,-0.06665395945310593,0.7350993377483444
common_mean,common_mean,L Sulcus temporal inf,70,0.01619688607752323,0.19557218253612518,-0.14548595249652863,0.5571428571428572
common_mean,common_mean,L Gyrus rectus,74,0.016037369146943092,0.14980033040046692,-0.054167475551366806,0.6081081081081081
common_mean,common_mean,R Gyrus and Sulcus cingul-Ant,173,0.015800166875123978,0.1426440328359604,-0.12711678445339203,0.6473988439306358
common_mean,common_mean,R Gyrus temporal inf,143,0.015402061864733696,0.19048434495925903,-0.16488604247570038,0.5944055944055944
common_mean,common_mean,R Sulcus orbital lateral,22,0.013977297581732273,0.11774143576622009,-0.05519629642367363,0.5909090909090909
common_mean,common_mean,L Gyrus front inf-Orbital,29,0.013763933442533016,0.06616317480802536,-0.038775429129600525,0.7241379310344828
common_mean,common_mean,L Gyrus temporal inf,159,0.013704597018659115,0.21099050343036652,-0.17823749780654907,0.559748427672956
common_mean,common_mean,R Gyrus rectus,57,0.013594096526503563,0.14485682547092438,-0.0722261369228363,0.6666666666666666
common_mean,common_mean,L Sulcus circular insula sup,191,0.012915441766381264,0.09541543573141098,-0.05593859776854515,0.6544502617801047
common_mean,common_mean,L Gyrus cingul-Post-dorsal,69,0.012413223274052143,0.08601108938455582,-0.04586015269160271,0.7391304347826086
common_mean,common_mean,L Gyrus oc-temp med-Parahip,152,0.012336855754256248,0.1218583881855011,-0.0658140555024147,0.5460526315789473
common_mean,common_mean,R Gyrus subcallosal,13,0.011367893777787685,0.04460078477859497,-0.058397579938173294,0.6153846153846154
common_mean,common_mean,L Gyrus orbital,159,0.010204419493675232,0.10114652663469315,-0.1024695634841919,0.6037735849056604
common_mean,common_mean,R Gyrus orbital,180,0.009246299043297768,0.11150287836790085,-0.10588052123785019,0.5833333333333334
common_mean,common_mean,R Sulcus temporal inf,61,0.007124386727809906,0.1712784618139267,-0.1615700125694275,0.4918032786885246
common_mean,common_mean,R Sulcus suborbital,28,0.0061684162355959415,0.10410525649785995,-0.0698406919836998,0.4642857142857143
common_mean,common_mean,R Gyrus and Sulcus frontomargin,52,0.006079539190977812,0.07631387561559677,-0.0775633230805397,0.5576923076923077
common_mean,common_mean,L Sulcus orbital-H Shaped,68,0.0053789964877069,0.09023217111825943,-0.09998869895935059,0.5441176470588235
common_mean,common_mean,L Gyrus insular short,59,0.004892985336482525,0.07769528776407242,-0.044324446469545364,0.559322033898305
common_mean,common_mean,L Gyrus and Sulcus frontomargin,59,0.0033337671775370836,0.11996427178382874,-0.08173952251672745,0.4067796610169492
common_mean,common_mean,R Gyrus temporal middle,201,0.0030729130376130342,0.16093100607395172,-0.16530759632587433,0.5522388059701493
common_mean,common_mean,L Gyrus Ins lg and S cent ins,44,0.002886085771024227,0.04657745361328125,-0.04327522590756416,0.6136363636363636
common_mean,common_mean,L Gyrus subcallosal,16,0.0020773899741470814,0.03401150926947594,-0.04222497344017029,0.5625
common_mean,common_mean,R Unknown,872,-0.0057589043863117695,0.11131510138511658,-0.1024164929986,0.41628440366972475
common_mean,common_mean,L Unknown,870,-0.009015368297696114,0.10557162016630173,-0.11339283734560013,0.35747126436781607
common_mean,common_mean,L Sulcus suborbital,46,-0.010113862343132496,0.07461569458246231,-0.07748555392026901,0.45652173913043476
common_mean,common_mean,R Sulcus orbital med-olfact,62,-0.012995311059057713,0.053013499826192856,-0.07016101479530334,0.3870967741935484
common_mean,common_mean,L Gyrus temporal middle,183,-0.01548223290592432,0.14285412430763245,-0.1625828593969345,0.4262295081967213
common_mean,common_mean,L Sulcus orbital med-olfact,51,-0.015638580545783043,0.04265744984149933,-0.08196195214986801,0.3333333333333333
common_mean,common_mean,R Pole temporal,111,-0.023377906531095505,0.07285144180059433,-0.14722834527492523,0.2972972972972973
common_mean,common_mean,L Pole temporal,104,-0.037237003445625305,0.08069310337305069,-0.17201535403728485,0.3173076923076923
