index,time_sec,video_frame_index,prediction_index,top_regions,png_path
24,12.0,288,12,L Gyrus and Sulcus cingul-Ant (1.80); R Gyrus oc-temp med-Parahip (1.77); R Gyrus and Sulcus cingul-Ant (1.77); L Gyrus orbital (1.72); R Gyrus and Sulcus transv frontopol (1.71); L Sulcus pericallosal (1.67); L Sulcus suborbital (1.67); L Gyrus front middle (1.63),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0024_0012.0s.png
25,12.5,300,12,L Gyrus and Sulcus cingul-Ant (1.80); R Gyrus oc-temp med-Parahip (1.77); R Gyrus and Sulcus cingul-Ant (1.77); L Gyrus orbital (1.72); R Gyrus and Sulcus transv frontopol (1.71); L Sulcus pericallosal (1.67); L Sulcus suborbital (1.67); L Gyrus front middle (1.63),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0025_0012.5s.png
26,13.0,312,13,L Gyrus front middle (1.75); R Gyrus orbital (1.74); L Gyrus and Sulcus cingul-Ant (1.73); L Gyrus orbital (1.73); R Gyrus and Sulcus cingul-Ant (1.71); R Gyrus and Sulcus transv frontopol (1.66); R Gyrus rectus (1.66); L Sulcus suborbital (1.65),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0026_0013.0s.png
27,13.5,324,13,L Gyrus front middle (1.75); R Gyrus orbital (1.74); L Gyrus and Sulcus cingul-Ant (1.73); L Gyrus orbital (1.73); R Gyrus and Sulcus cingul-Ant (1.71); R Gyrus and Sulcus transv frontopol (1.66); R Gyrus rectus (1.66); L Sulcus suborbital (1.65),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0027_0013.5s.png
28,14.0,336,14,R Gyrus rectus (1.86); R Gyrus orbital (1.72); L Sulcus circular insula ant (1.64); L Sulcus oc-temp med and Lingual (1.63); L Gyrus front middle (1.61); L Gyrus oc-temp med-Parahip (1.58); R Sulcus cingul-Marginalis (1.57); R Sulcus oc-temp med and Lingual (1.56),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0028_0014.0s.png
29,14.5,348,14,R Gyrus rectus (1.86); R Gyrus orbital (1.72); L Sulcus circular insula ant (1.64); L Sulcus oc-temp med and Lingual (1.63); L Gyrus front middle (1.61); L Gyrus oc-temp med-Parahip (1.58); R Sulcus cingul-Marginalis (1.57); R Sulcus oc-temp med and Lingual (1.56),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0029_0014.5s.png
30,15.0,360,15,L Sulcus oc-temp med and Lingual (1.80); R Gyrus pariet inf-Angular (1.77); R Gyrus temp sup-Plan tempo (1.73); L Sulcus precentral-inf-part (1.70); L Sulcus cingul-Marginalis (1.69); L Gyrus rectus (1.68); R Sulcus cingul-Marginalis (1.67); L Gyrus temporal middle (1.66),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0030_0015.0s.png
31,15.5,372,15,L Sulcus oc-temp med and Lingual (1.80); R Gyrus pariet inf-Angular (1.77); R Gyrus temp sup-Plan tempo (1.73); L Sulcus precentral-inf-part (1.70); L Sulcus cingul-Marginalis (1.69); L Gyrus rectus (1.68); R Sulcus cingul-Marginalis (1.67); L Gyrus temporal middle (1.66),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0031_0015.5s.png
32,16.0,384,16,L Gyrus rectus (1.82); R Gyrus temp sup-Plan tempo (1.79); R Gyrus front sup (1.78); L Gyrus parietal sup (1.76); R Gyrus pariet inf-Angular (1.74); L Sulcus postcentral (1.74); R Gyrus pariet inf-Supramar (1.70); L Gyrus orbital (1.68),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0032_0016.0s.png
33,16.5,396,16,L Gyrus rectus (1.82); R Gyrus temp sup-Plan tempo (1.79); R Gyrus front sup (1.78); L Gyrus parietal sup (1.76); R Gyrus pariet inf-Angular (1.74); L Sulcus postcentral (1.74); R Gyrus pariet inf-Supramar (1.70); L Gyrus orbital (1.68),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0033_0016.5s.png
