index,time_sec,video_frame_index,prediction_index,top_regions,png_path
48,24.0,576,24,L Sulcus front sup (2.14); R Sulcus precentral-sup-part (2.14); L Sulcus precentral-sup-part (2.08); R Sulcus front sup (2.08); L Gyrus precentral (2.06); L Sulcus oc-temp lat (2.06); R Gyrus precentral (2.04); L Gyrus front sup (2.01),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0048_0024.0s.png
49,24.5,588,24,L Sulcus front sup (2.14); R Sulcus precentral-sup-part (2.14); L Sulcus precentral-sup-part (2.08); R Sulcus front sup (2.08); L Gyrus precentral (2.06); L Sulcus oc-temp lat (2.06); R Gyrus precentral (2.04); L Gyrus front sup (2.01),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0049_0024.5s.png
50,25.0,600,25,R Sulcus precentral-inf-part (2.18); R Sulcus precentral-sup-part (2.11); L Pole temporal (2.11); R Gyrus precentral (2.06); R Gyrus front middle (2.05); L Sulcus front sup (2.04); L Gyrus oc-temp med-Parahip (2.02); L Gyrus precentral (2.01),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0050_0025.0s.png
51,25.5,612,25,R Sulcus precentral-inf-part (2.18); R Sulcus precentral-sup-part (2.11); L Pole temporal (2.11); R Gyrus precentral (2.06); R Gyrus front middle (2.05); L Sulcus front sup (2.04); L Gyrus oc-temp med-Parahip (2.02); L Gyrus precentral (2.01),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0051_0025.5s.png
52,26.0,624,26,L Pole temporal (2.20); R Sulcus precentral-inf-part (2.16); R Sulcus collat transv ant (2.09); L Gyrus oc-temp med-Parahip (2.03); R Gyrus and Sulcus cingul-Ant (2.03); R Sulcus precentral-sup-part (2.00); L Gyrus cuneus (2.00); R Sulcus front inf (1.99),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0052_0026.0s.png
53,26.5,636,26,L Pole temporal (2.20); R Sulcus precentral-inf-part (2.16); R Sulcus collat transv ant (2.09); L Gyrus oc-temp med-Parahip (2.03); R Gyrus and Sulcus cingul-Ant (2.03); R Sulcus precentral-sup-part (2.00); L Gyrus cuneus (2.00); R Sulcus front inf (1.99),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0053_0026.5s.png
54,27.0,648,27,L Pole temporal (2.14); L Gyrus oc-temp med-Parahip (2.04); L Gyrus temporal inf (2.01); L Sulcus central (2.00); R Sulcus collat transv ant (2.00); R Sulcus precentral-inf-part (1.99); R Gyrus postcentral (1.96); L Gyrus and Sulcus paracentral (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0054_0027.0s.png
55,27.5,660,27,L Pole temporal (2.14); L Gyrus oc-temp med-Parahip (2.04); L Gyrus temporal inf (2.01); L Sulcus central (2.00); R Sulcus collat transv ant (2.00); R Sulcus precentral-inf-part (1.99); R Gyrus postcentral (1.96); L Gyrus and Sulcus paracentral (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0055_0027.5s.png
56,28.0,672,28,L Gyrus oc-temp med-Parahip (2.00); R Sulcus collat transv ant (1.99); R Gyrus orbital (1.95); L Sulcus central (1.94); L Gyrus cuneus (1.93); L Gyrus and Sulcus paracentral (1.92); R Pole temporal (1.90); R Gyrus postcentral (1.90),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0056_0028.0s.png
57,28.5,684,28,L Gyrus oc-temp med-Parahip (2.00); R Sulcus collat transv ant (1.99); R Gyrus orbital (1.95); L Sulcus central (1.94); L Gyrus cuneus (1.93); L Gyrus and Sulcus paracentral (1.92); R Pole temporal (1.90); R Gyrus postcentral (1.90),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0057_0028.5s.png
