index,time_sec,video_frame_index,prediction_index,top_regions,png_path
46,23.0,551,23,L Gyrus rectus (2.02); L Gyrus cingul-Post-dorsal (2.02); R Sulcus central (2.02); R Sulcus circular insula sup (2.01); L Gyrus postcentral (1.99); L Gyrus and Sulcus paracentral (1.98); L Sulcus temporal inf (1.98); L Sulcus central (1.96),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0046_0023.0s.png
47,23.5,563,23,L Gyrus rectus (2.02); L Gyrus cingul-Post-dorsal (2.02); R Sulcus central (2.02); R Sulcus circular insula sup (2.01); L Gyrus postcentral (1.99); L Gyrus and Sulcus paracentral (1.98); L Sulcus temporal inf (1.98); L Sulcus central (1.96),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0047_0023.5s.png
48,24.0,575,24,L Sulcus temporal inf (2.07); L Gyrus rectus (2.06); L Gyrus insular short (2.02); L Gyrus Ins lg and Sulcus cent ins (1.98); L Gyrus oc-temp med-Parahip (1.98); L Gyrus and Sulcus paracentral (1.97); R Sulcus central (1.94); L Sulcus front inf (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0048_0024.0s.png
49,24.5,587,24,L Sulcus temporal inf (2.07); L Gyrus rectus (2.06); L Gyrus insular short (2.02); L Gyrus Ins lg and Sulcus cent ins (1.98); L Gyrus oc-temp med-Parahip (1.98); L Gyrus and Sulcus paracentral (1.97); R Sulcus central (1.94); L Sulcus front inf (1.94),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0049_0024.5s.png
50,25.0,598,25,L Gyrus insular short (2.14); L Gyrus Ins lg and Sulcus cent ins (2.04); R Gyrus Ins lg and Sulcus cent ins (2.00); R Sulcus circular insula sup (1.99); L Sulcus circular insula inf (1.98); R Gyrus and Sulcus subcentral (1.98); L Sulcus circular insula sup (1.96); R Sulcus intrapariet and P trans (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0050_0025.0s.png
51,25.5,610,25,L Gyrus insular short (2.14); L Gyrus Ins lg and Sulcus cent ins (2.04); R Gyrus Ins lg and Sulcus cent ins (2.00); R Sulcus circular insula sup (1.99); L Sulcus circular insula inf (1.98); R Gyrus and Sulcus subcentral (1.98); L Sulcus circular insula sup (1.96); R Sulcus intrapariet and P trans (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0051_0025.5s.png
52,26.0,622,26,L Gyrus insular short (2.17); L Gyrus Ins lg and Sulcus cent ins (2.10); L Sulcus circular insula sup (2.09); R Gyrus and Sulcus subcentral (2.09); R Sulcus circular insula sup (2.07); R Gyrus pariet inf-Supramar (2.06); R Sulcus interm prim-Jensen (2.04); R Gyrus Ins lg and Sulcus cent ins (2.03),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0052_0026.0s.png
53,26.5,634,26,L Gyrus insular short (2.17); L Gyrus Ins lg and Sulcus cent ins (2.10); L Sulcus circular insula sup (2.09); R Gyrus and Sulcus subcentral (2.09); R Sulcus circular insula sup (2.07); R Gyrus pariet inf-Supramar (2.06); R Sulcus interm prim-Jensen (2.04); R Gyrus Ins lg and Sulcus cent ins (2.03),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0053_0026.5s.png
54,27.0,646,27,R Gyrus orbital (2.11); L Sulcus circular insula sup (2.11); L Gyrus insular short (2.11); R Gyrus and Sulcus subcentral (2.11); L Gyrus Ins lg and Sulcus cent ins (2.05); R Sulcus interm prim-Jensen (2.05); R Gyrus pariet inf-Supramar (2.04); R Gyrus front sup (2.04),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0054_0027.0s.png
55,27.5,658,27,R Gyrus orbital (2.11); L Sulcus circular insula sup (2.11); L Gyrus insular short (2.11); R Gyrus and Sulcus subcentral (2.11); L Gyrus Ins lg and Sulcus cent ins (2.05); R Sulcus interm prim-Jensen (2.05); R Gyrus pariet inf-Supramar (2.04); R Gyrus front sup (2.04),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0055_0027.5s.png
56,28.0,670,28,R Gyrus temporal middle (2.11); R Gyrus and Sulcus subcentral (2.06); L Gyrus Ins lg and Sulcus cent ins (2.03); R Sulcus orbital med-olfact (2.02); R Gyrus front sup (2.01); L Sulcus circular insula sup (2.01); R Gyrus orbital (1.96); R Gyrus pariet inf-Supramar (1.96),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0056_0028.0s.png
57,28.5,682,28,R Gyrus temporal middle (2.11); R Gyrus and Sulcus subcentral (2.06); L Gyrus Ins lg and Sulcus cent ins (2.03); R Sulcus orbital med-olfact (2.02); R Gyrus front sup (2.01); L Sulcus circular insula sup (2.01); R Gyrus orbital (1.96); R Gyrus pariet inf-Supramar (1.96),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0057_0028.5s.png
58,29.0,694,29,R Sulcus orbital med-olfact (2.09); R Gyrus orbital (1.99); L Sulcus front inf (1.95); R Gyrus front sup (1.93); R Gyrus temporal middle (1.92); L Sulcus orbital-H Shaped (1.90); R Sulcus cingul-Marginalis (1.90); L Gyrus rectus (1.89),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0058_0029.0s.png
